ID,Education,Age,DaysAsCustomer,Marital_Status,Kidhome,Teenhome,Country,Recency,Purchases, Income ,CampaingsAccepted,Complain,Spent,Cluster
1519,PhD,51,3751,Single,1,1,Spain,2,9,38578.0,0,0,73,A
9080,PhD,51,3751,Single,1,1,Spain,2,9,38578.0,0,0,73,A
1772,PhD,48,3913,Married,0,0,Canada,2,19,79174.0,2,0,2043,D
5341,2n Cycle,61,3919,Divorced,0,1,Saudi Arabia,2,14,81975.0,1,0,1588,D
5510,Master,46,3964,Married,0,1,Spain,2,16,43263.0,0,0,441,C
3887,Graduation,53,3974,Single,1,0,India,2,7,27242.0,0,0,106,A
7022,Graduation,52,4018,Married,1,0,Saudi Arabia,2,21,76445.0,0,0,1410,B
9999,Graduation,58,4019,Together,0,0,Spain,2,23,75276.0,0,0,1040,B
10352,Graduation,60,4039,Widow,1,1,Saudi Arabia,2,9,34213.0,0,0,117,A
7919,PhD,47,4064,Together,0,0,Spain,2,23,72335.0,0,0,2092,D
4114,Master,59,4066,Married,0,0,Australia,2,29,79143.0,0,0,1693,D
7990,Graduation,76,4075,Married,0,0,Canada,2,4,27469.0,0,0,17,A
9888,Graduation,54,3383,Together,0,0,Spain,3,16,68695.0,0,0,1091,B
4399,Graduation,54,3383,Together,0,0,Canada,3,16,68695.0,0,0,1091,B
4452,Graduation,66,3411,Single,0,1,Germany,3,17,50388.0,2,0,372,C
4785,PhD,53,3455,Together,0,2,Saudi Arabia,3,22,77622.0,0,0,714,C
8461,Graduation,61,3490,Divorced,2,1,Spain,3,4,46102.0,0,0,16,A
3878,2n Cycle,43,3501,Single,1,0,Spain,3,5,31859.0,0,0,48,A
9612,2n Cycle,36,3521,Single,0,0,Spain,3,5,23830.0,0,0,43,A
4098,Graduation,50,3531,Married,1,1,Australia,3,9,24639.0,0,0,44,A
158,PhD,78,3603,Together,0,0,Spain,3,17,71604.0,1,0,1196,B
3896,Graduation,39,3613,Married,1,0,Spain,3,5,27255.0,0,0,37,A
9970,Graduation,46,3634,Together,0,1,Canada,3,9,55375.0,0,0,162,A
4002,PhD,63,3638,Married,0,1,Spain,3,27,77037.0,0,0,1123,B
10914,Graduation,53,3639,Single,1,1,Spain,3,6,24163.0,0,0,17,A
7279,PhD,54,3651,Together,0,0,USA,3,15,69476.0,0,0,1044,B
10582,Graduation,44,3740,Married,0,1,Germany,3,21,72063.0,0,0,758,C
4470,Master,61,3763,Married,0,1,Spain,3,8,58646.0,0,0,140,A
6183,Master,61,3763,Married,0,1,Germany,3,8,58646.0,0,0,140,A
6379,Master,74,3775,Widow,1,1,USA,3,9,47570.0,0,0,121,A
8601,Graduation,43,3805,Married,0,1,Australia,3,21,80011.0,0,0,1395,B
4827,PhD,67,3855,Single,0,1,Spain,3,20,54998.0,0,0,455,C
6715,PhD,75,3922,Single,0,1,Spain,3,25,60200.0,0,0,685,C
10676,Graduation,41,3983,Married,0,0,Spain,3,20,63211.0,0,0,1173,B
1041,PhD,50,3998,Single,0,1,Saudi Arabia,3,19,48432.0,0,0,424,C
492,PhD,50,3998,YOLO,0,1,Canada,3,19,48432.0,0,0,424,C
11133,PhD,50,3998,YOLO,0,1,India,3,19,48432.0,0,0,424,C
4491,Master,74,4015,Married,1,1,Spain,3,28,62845.0,1,0,1178,B
873,Master,74,4015,Married,1,1,Spain,3,28,62845.0,1,0,1178,B
1631,PhD,58,4043,Together,0,0,Germany,3,23,65220.0,0,0,1282,B
8278,PhD,33,4051,Married,0,0,Spain,3,16,74214.0,0,0,1711,D
6815,2n Cycle,43,3416,Married,0,0,Spain,4,21,96547.0,3,0,809,C
254,Graduation,68,3422,Together,0,1,Spain,4,18,53863.0,1,0,473,C
1349,Graduation,53,3448,Married,2,0,India,4,8,50447.0,0,0,148,A
2534,Graduation,70,3448,Married,0,1,Australia,4,10,37716.0,0,0,188,A
2130,Graduation,41,3477,Together,2,0,Saudi Arabia,4,8,45203.0,0,0,147,A
2296,Master,48,3574,Married,1,0,Spain,4,4,37368.0,1,0,30,A
3799,Graduation,68,3594,Married,0,1,USA,4,23,67225.0,0,0,868,B
11084,Master,47,3606,Together,0,1,Canada,4,17,65104.0,0,0,1053,B
5172,Master,47,3606,Together,0,1,Spain,4,17,65104.0,0,0,1053,B
9504,Master,74,3614,Married,0,0,Spain,4,25,81698.0,0,0,1008,B
850,Graduation,55,3645,Single,0,1,Spain,4,22,70566.0,0,0,757,C
4477,Graduation,65,3654,Together,0,1,Germany,4,18,69096.0,0,0,653,C
1945,Graduation,61,3663,Married,0,1,Spain,4,21,71434.0,2,0,1400,B
7685,Graduation,45,3672,Married,1,0,Spain,4,7,33039.0,0,0,78,A
6310,Graduation,45,3672,Married,1,0,Canada,4,7,33039.0,0,0,78,A
10832,Graduation,65,3725,Together,0,0,Spain,4,14,46610.0,0,0,467,C
3025,Graduation,65,3735,Single,0,1,Canada,4,15,49967.0,0,0,306,A
2404,Graduation,47,3777,Married,1,1,USA,4,14,53359.0,0,0,257,A
8581,Master,52,3860,Married,1,1,Spain,4,29,49505.0,0,0,751,C
8755,Master,77,3873,Married,0,0,Australia,4,18,68657.0,0,0,1196,B
10177,Graduation,69,3879,Divorced,0,1,Spain,4,20,72071.0,0,0,1338,B
2429,Graduation,69,3879,Divorced,0,1,Canada,4,20,72071.0,0,0,1338,B
8920,Master,56,3912,Single,1,0,India,4,28,59235.0,0,0,1128,B
8430,Graduation,66,3931,Together,0,1,Australia,4,4,21994.0,0,0,22,A
8619,Graduation,66,3931,Together,0,1,Spain,4,4,21994.0,0,0,22,A
7233,Graduation,51,4029,Married,0,0,Canada,4,16,69209.0,1,0,1782,D
6678,Graduation,34,3472,Together,1,0,India,5,9,31928.0,0,0,72,A
830,PhD,36,3504,Single,0,0,India,5,15,74004.0,2,0,1658,D
6365,2n Cycle,36,3679,Married,0,0,India,5,6,30390.0,0,0,80,A
6770,Graduation,38,3692,Married,1,0,USA,5,7,21355.0,1,0,68,A
2261,Graduation,54,3750,Married,1,0,Germany,5,4,26304.0,0,0,16,A
1031,2n Cycle,34,3799,Married,0,0,India,5,26,85710.0,1,0,1062,B
10089,Graduation,49,3829,Divorced,0,0,Saudi Arabia,5,29,102692.0,4,0,1112,B
9256,Graduation,52,3920,Single,0,1,Spain,5,27,58350.0,0,0,1001,B
10641,Graduation,45,3928,Single,1,1,Spain,5,10,7500.0,0,0,57,A
624,Master,39,3975,Single,0,0,Saudi Arabia,5,4,18890.0,1,0,35,A
4211,Basic,37,3987,Married,1,0,Canada,5,7,20425.0,0,0,57,A
1407,Basic,37,3987,Married,1,0,Germany,5,7,20425.0,0,0,57,A
10356,PhD,66,4024,Divorced,1,1,Spain,5,5,41437.0,0,0,32,A
9323,Master,74,4039,Together,0,1,Mexico,5,26,49912.0,1,0,874,B
1146,Master,74,4039,Together,0,1,Australia,5,26,49912.0,1,0,874,B
6343,Graduation,64,3469,Married,0,1,Australia,6,23,79823.0,1,0,1518,D
8545,Graduation,69,3479,Divorced,0,0,Spain,6,17,85683.0,4,0,1789,D
8275,PhD,58,3519,Divorced,1,1,Spain,6,4,47025.0,0,0,20,A
10673,PhD,47,3603,Married,0,1,Saudi Arabia,6,21,68397.0,0,0,1416,B
8799,PhD,39,3658,Married,1,0,Spain,6,11,38175.0,0,0,153,A
67,Master,51,3663,Single,1,1,Spain,6,9,46423.0,0,0,92,A
9923,Master,51,3663,Single,1,1,Spain,6,9,46423.0,0,0,92,A
2814,Master,47,3746,Together,1,0,Saudi Arabia,6,5,30560.0,0,0,31,A
2711,Master,47,3746,Together,1,0,Canada,6,5,30560.0,0,0,31,A
4320,Graduation,44,3837,Single,0,1,Spain,6,23,60152.0,0,0,943,B
10451,Graduation,58,3853,Together,1,1,Saudi Arabia,6,4,29672.0,0,0,25,A
4198,Graduation,58,3853,Together,1,1,Spain,6,4,29672.0,0,0,25,A
10814,Graduation,76,3908,Together,0,0,Spain,6,25,70321.0,0,0,1376,B
944,Graduation,61,3916,Married,0,1,Spain,6,14,56181.0,0,0,393,C
8151,Basic,33,3926,Married,0,0,Spain,6,9,24279.0,0,0,263,A
6184,PhD,54,3943,Married,0,0,Spain,6,15,68462.0,0,0,1670,D
3498,PhD,47,3960,Married,0,1,Spain,6,25,55424.0,1,0,877,B
2870,Graduation,50,4025,Married,0,1,Spain,6,20,49094.0,0,0,502,C
7342,2n Cycle,62,4037,Widow,0,1,Spain,6,27,59184.0,0,0,1072,B
1911,Graduation,36,4041,Together,0,0,Germany,6,29,67430.0,0,0,1364,B
10862,Master,63,4060,Married,0,1,Spain,6,17,30522.0,0,0,326,A
2546,2n Cycle,46,3386,Single,0,1,Spain,7,6,31878.0,0,0,70,A
3005,Graduation,31,3438,Single,0,0,Spain,7,23,83528.0,2,0,1650,D
8318,Graduation,44,3556,Together,0,0,Spain,7,19,90300.0,1,0,1738,D
2930,Master,45,3574,Single,0,0,Saudi Arabia,7,20,68092.0,0,0,1281,B
8216,Master,51,3640,Married,1,1,Australia,7,17,53761.0,0,0,325,A
1212,Graduation,50,3699,Married,1,0,Spain,7,25,52845.0,1,0,936,B
2541,Graduation,47,3764,Married,1,0,Spain,7,7,24027.0,0,0,48,A
10659,2n Cycle,44,3797,Together,1,0,India,7,11,7500.0,0,0,53,A
10905,Graduation,68,3987,Together,1,1,Spain,7,16,42586.0,0,0,252,A
8910,Graduation,68,3987,Together,1,1,Spain,7,16,42586.0,0,0,252,A
7349,Basic,50,4014,Together,1,0,Spain,7,11,9722.0,0,0,103,A
7872,PhD,48,4034,Married,0,0,Spain,7,23,86836.0,3,0,557,C
4290,Graduation,51,3481,Married,1,0,Canada,8,4,30467.0,0,0,24,A
7408,PhD,71,3497,Married,0,1,Saudi Arabia,8,12,54549.0,0,0,233,A
9986,Graduation,41,3506,Together,1,0,Saudi Arabia,8,10,19444.0,0,0,54,A
8235,Master,67,3535,Together,0,1,Saudi Arabia,8,23,69245.0,0,0,843,C
10949,PhD,60,3574,Divorced,0,0,Spain,8,19,72968.0,1,0,1958,D
7284,Graduation,70,3586,Married,1,2,Spain,8,4,48686.0,0,0,20,A
9529,Graduation,33,3592,Married,0,0,Saudi Arabia,8,22,73687.0,1,0,1627,D
9930,PhD,79,3615,Single,0,0,Canada,8,28,82716.0,0,0,1167,B
10270,2n Cycle,42,3648,Married,1,0,Germany,8,8,35523.0,0,0,66,A
760,PhD,48,3703,Divorced,1,0,Saudi Arabia,8,23,60554.0,0,0,811,C
5519,Graduation,67,3705,Together,0,1,Saudi Arabia,8,20,64090.0,0,0,797,C
232,Graduation,58,3726,Single,0,1,Spain,8,17,61559.0,0,0,530,C
3009,PhD,61,3734,Widow,0,0,Spain,8,15,71670.0,3,0,1766,D
6518,PhD,72,3762,Widow,0,1,Australia,8,19,67680.0,0,0,606,C
10669,Graduation,42,3787,Married,0,1,Spain,8,17,54386.0,0,0,470,C
5682,PhD,70,3842,Single,0,1,Australia,8,30,64108.0,0,0,1099,B
1570,PhD,72,3874,Together,0,1,Spain,8,26,69702.0,0,0,1039,B
1497,Graduation,71,3905,Single,0,1,Saudi Arabia,8,16,47958.0,0,0,407,C
9723,Graduation,63,3914,Married,0,1,Canada,8,28,67716.0,1,0,1016,B
7261,Graduation,52,3923,Together,1,1,Spain,8,17,34600.0,0,0,318,A
2452,Graduation,52,3923,Together,1,1,Spain,8,17,34600.0,0,0,318,A
5621,Graduation,54,3943,Married,1,1,Spain,8,17,48752.0,0,0,316,A
10995,2n Cycle,35,3973,Married,1,0,Saudi Arabia,8,10,15716.0,0,1,92,A
7373,PhD,71,3987,Divorced,0,2,Australia,8,17,46610.0,0,0,302,A
5331,Graduation,46,4035,Married,0,0,Germany,8,17,74985.0,0,0,1869,D
263,PhD,78,3411,Single,0,0,Spain,9,8,45576.0,0,0,145,A
4619,PhD,78,3411,Single,0,0,Spain,9,27,113734.0,0,0,277,A
940,Graduation,36,3421,Single,1,0,Saudi Arabia,9,14,57100.0,0,0,311,A
10084,Graduation,51,3421,Married,2,0,India,9,7,24434.0,0,0,50,A
6019,PhD,52,3470,Married,1,0,Spain,9,6,37126.0,1,0,72,A
1463,Graduation,65,3471,Single,1,1,Australia,9,4,45160.0,0,0,21,A
6424,Graduation,46,3529,Together,1,0,Spain,9,5,33178.0,0,0,49,A
8233,Master,73,3533,Widow,0,1,Canada,9,21,64866.0,1,0,556,C
1515,Master,48,3537,Together,0,1,Canada,9,5,34176.0,0,0,28,A
10855,Master,55,3537,Single,1,0,Spain,9,15,50014.0,0,0,396,C
10909,Graduation,75,3544,Married,0,0,Australia,9,20,92344.0,2,0,1899,D
3376,Master,53,3577,Divorced,1,0,Spain,9,11,55282.0,0,0,235,A
10232,PhD,60,3615,Divorced,0,1,Spain,9,15,48799.0,0,0,331,A
5547,PhD,41,3705,Married,0,0,Spain,9,20,84169.0,2,0,1919,D
8362,PhD,41,3705,Married,0,0,Saudi Arabia,9,20,84169.0,2,0,1919,D
3524,Master,52,3708,Single,1,0,Spain,9,10,39763.0,0,0,167,A
10095,PhD,48,3803,Divorced,0,0,Canada,9,20,74165.0,0,0,1293,B
8897,Graduation,58,3810,Single,1,1,Germany,9,25,42720.0,0,0,654,C
466,Graduation,79,3831,Married,0,0,Spain,9,21,65275.0,0,0,746,C
11025,Graduation,62,3890,Married,1,1,Spain,9,11,36443.0,0,0,138,A
2387,Master,71,3890,Together,1,1,Saudi Arabia,9,17,43776.0,0,0,275,A
1618,Graduation,58,3922,Together,0,0,Germany,9,21,56046.0,1,0,692,C
25,Graduation,65,3969,Married,0,1,Canada,9,21,65148.0,0,0,1115,B
3277,Graduation,68,4074,Divorced,0,1,Spain,9,15,49431.0,0,0,365,C
8566,PhD,62,3393,Together,1,1,Spain,10,4,32583.0,0,0,9,A
2634,Master,44,3451,Single,1,0,Spain,10,9,16653.0,0,0,69,A
8036,2n Cycle,52,3451,Together,1,1,Spain,10,11,26850.0,0,0,63,A
8159,Graduation,55,3468,Married,1,1,Spain,10,11,51287.0,0,0,182,A
7628,2n Cycle,50,3482,Married,1,0,Spain,10,8,43050.0,0,0,76,A
9597,Graduation,54,3518,Married,0,0,Canada,10,19,73448.0,0,0,725,C
1384,Basic,31,3597,Married,1,0,USA,10,7,17256.0,1,0,62,A
10150,Graduation,62,3599,Single,0,0,Saudi Arabia,10,18,86429.0,1,0,1449,D
3885,PhD,40,3635,Married,1,0,Spain,10,5,33569.0,1,0,63,A
11003,2n Cycle,43,3649,Together,1,0,Canada,10,7,25130.0,0,0,50,A
8026,Graduation,71,3651,Married,0,1,Canada,10,19,62998.0,0,0,463,C
577,2n Cycle,47,3692,Together,1,1,Spain,10,6,26907.0,0,0,22,A
8702,2n Cycle,47,3692,Together,1,1,Australia,10,6,26907.0,0,0,22,A
5429,PhD,75,3692,Married,0,1,Spain,10,10,45579.0,0,0,183,A
977,Graduation,66,3711,Together,0,1,Canada,10,20,47320.0,0,0,414,C
2793,PhD,47,3722,Divorced,0,1,Saudi Arabia,10,26,70179.0,0,0,1034,B
1071,PhD,47,3722,Divorced,0,1,USA,10,26,70179.0,0,0,1034,B
5074,Master,37,3735,Married,1,0,Canada,10,5,28072.0,0,0,47,A
2632,Graduation,69,3755,Married,1,1,India,10,20,50501.0,1,0,500,C
6404,Graduation,54,3841,Together,1,2,Saudi Arabia,10,16,58917.0,0,0,282,A
10240,Graduation,74,3874,Together,0,0,Canada,10,21,69372.0,2,0,1381,B
2521,Master,52,3914,Married,1,0,Spain,10,5,35178.0,1,0,59,A
4301,Master,52,3914,Married,1,0,Australia,10,5,35178.0,1,0,59,A
7381,Graduation,55,3949,Divorced,0,0,Spain,10,22,75693.0,3,0,1442,B
2407,Graduation,41,3976,Married,0,0,USA,10,20,69109.0,1,0,1555,D
9064,Graduation,41,3976,Married,0,0,Spain,10,20,69109.0,1,0,1555,D
5067,Graduation,29,3514,Together,0,0,Spain,11,21,80134.0,4,0,1378,B
10281,Graduation,53,3521,Divorced,1,0,Australia,11,19,64713.0,0,0,602,C
11191,Graduation,37,3583,Divorced,0,0,Spain,11,8,41411.0,0,0,139,A
2552,PhD,68,3629,Single,1,2,Spain,11,24,55521.0,1,0,446,C
6720,Master,55,3635,Together,0,1,Spain,11,17,43795.0,1,0,492,C
4557,Graduation,53,3647,Together,1,0,Saudi Arabia,11,8,22070.0,0,0,67,A
1183,Master,74,3660,Married,1,1,Germany,11,4,36408.0,0,0,22,A
4186,Graduation,73,3707,Together,1,1,Canada,11,9,34026.0,0,0,76,A
1419,Graduation,73,3707,Together,1,1,Spain,11,9,34026.0,0,0,76,A
967,Graduation,47,3722,Married,1,1,Spain,11,26,46049.0,0,0,515,C
1048,Master,51,3729,Married,1,0,Saudi Arabia,11,10,35641.0,0,0,178,A
9262,2n Cycle,39,3739,Together,0,0,Saudi Arabia,11,5,32414.0,1,0,52,A
3427,PhD,68,3822,Married,0,1,Saudi Arabia,11,26,59821.0,0,0,734,C
5892,Graduation,43,3824,Married,1,0,Saudi Arabia,11,17,34968.0,0,0,221,A
8911,PhD,56,3826,Married,0,1,Spain,11,21,56320.0,0,0,702,C
6606,Master,54,3834,Married,1,0,Spain,11,19,70091.0,1,0,1161,B
2677,Graduation,67,3834,Together,0,1,Saudi Arabia,11,15,46097.0,0,0,241,A
252,PhD,60,3848,Divorced,0,0,Saudi Arabia,11,17,41003.0,0,0,601,C
9860,Graduation,64,3850,Together,0,1,Spain,11,12,44911.0,0,0,215,A
1388,Graduation,48,3873,Single,1,0,Australia,11,8,33249.0,0,0,112,A
979,Graduation,48,3873,Single,1,0,Spain,11,8,33249.0,0,0,112,A
7494,PhD,73,3903,Divorced,1,1,Canada,11,15,42873.0,0,0,269,A
10490,PhD,54,3945,Married,1,1,Australia,11,14,51039.0,0,0,417,C
3403,PhD,65,4022,Together,0,1,Spain,11,21,78952.0,0,0,2092,D
2715,Master,57,4071,Divorced,1,1,Canada,11,11,29435.0,0,0,180,A
4828,Graduation,69,3390,Divorced,0,1,Saudi Arabia,12,21,79865.0,0,0,792,C
92,Graduation,35,3427,Alone,1,0,Canada,12,11,34176.0,0,0,89,A
3312,Graduation,35,3427,Single,1,0,India,12,11,34176.0,0,0,89,A
11176,PhD,53,3427,Together,0,1,Canada,12,18,65968.0,0,0,495,C
1446,Master,67,3464,Single,0,0,Saudi Arabia,12,28,86424.0,0,0,1226,B
9699,Graduation,57,3569,Divorced,0,1,Spain,12,23,67272.0,0,0,733,C
9790,Graduation,66,3597,Single,0,0,Canada,12,19,78499.0,1,0,1334,B
2324,Graduation,51,3624,Together,0,1,Spain,12,31,77044.0,1,0,1065,B
5080,Graduation,30,3630,Single,0,0,Mexico,12,17,70515.0,0,0,1258,B
4992,Master,48,3662,Together,1,0,Spain,12,9,17459.0,0,0,69,A
7849,PhD,53,3672,Married,0,0,Spain,12,25,80336.0,0,0,1052,B
4808,Graduation,67,3676,Married,0,0,Spain,12,4,15759.0,0,0,17,A
10401,2n Cycle,47,3677,Together,0,0,Germany,12,4,26326.0,0,1,18,A
7793,Graduation,47,3681,Together,0,1,Spain,12,24,62061.0,1,0,800,C
9303,Graduation,47,3713,Married,0,1,India,12,1,5305.0,0,0,32,A
6853,Master,41,3739,Single,0,0,Australia,12,21,75777.0,2,0,1438,B
7366,Master,41,3739,Single,0,0,India,12,21,75777.0,2,0,1438,B
9780,Master,52,3748,Together,0,1,Spain,12,26,71499.0,0,0,795,C
7573,PhD,45,3794,Single,1,0,Germany,12,6,31626.0,1,0,86,A
1379,Master,31,3807,Together,0,0,Saudi Arabia,12,11,42670.0,0,0,241,A
8923,Graduation,50,3816,Single,0,0,Spain,12,21,83917.0,0,0,1587,D
3547,Master,54,3925,Together,1,0,Saudi Arabia,12,7,41021.0,0,0,64,A
8707,Graduation,67,4055,Married,0,0,Spain,12,16,79456.0,0,0,1401,B
1891,Master,43,4069,Divorced,0,0,Spain,12,16,78789.0,0,0,1754,D
6271,PhD,71,3389,Married,0,1,Spain,13,6,50870.0,0,0,63,A
9635,Master,40,3449,Married,0,0,Spain,13,8,35876.0,0,0,129,A
9727,Graduation,66,3500,Married,0,0,Canada,13,7,23539.0,0,0,81,A
6205,Master,56,3504,Single,1,0,Canada,13,9,32557.0,0,0,80,A
10681,2n Cycle,53,3544,Married,0,1,Spain,13,26,62466.0,0,0,889,B
5156,2n Cycle,53,3544,Married,0,1,Spain,13,26,62466.0,0,0,889,B
3050,Graduation,57,3573,Married,1,1,Spain,13,16,54198.0,0,0,235,A
8164,PhD,45,3595,Married,0,0,Saudi Arabia,13,19,82170.0,0,0,1908,D
5626,PhD,59,3597,Single,0,0,Spain,13,16,61798.0,0,0,463,C
7600,Basic,31,3623,Single,1,0,Canada,13,6,15253.0,0,0,29,A
6406,Master,35,3623,Married,0,0,Germany,13,21,78285.0,0,0,1427,B
7002,Graduation,68,3648,Single,0,1,Spain,13,14,62535.0,0,0,398,C
8234,Basic,50,3697,Together,1,0,Spain,13,4,27190.0,1,0,18,A
6116,2n Cycle,55,3738,Married,0,1,Spain,13,6,48985.0,0,0,75,A
291,Graduation,53,3754,Married,0,0,Saudi Arabia,13,13,72940.0,0,0,981,B
8779,2n Cycle,38,3757,Married,1,0,USA,13,12,36145.0,1,0,172,A
4931,Graduation,46,3805,Together,0,0,Saudi Arabia,13,28,157146.0,0,0,1730,D
1650,Master,63,3812,Married,0,0,Spain,13,27,81843.0,0,0,1643,D
9701,Graduation,35,3846,Together,1,0,Canada,13,12,41883.0,0,0,312,A
6431,PhD,59,3870,Married,1,1,India,13,7,45759.0,0,0,68,A
10789,PhD,59,3870,Married,1,1,Spain,13,7,45759.0,0,0,68,A
5302,Graduation,37,3878,Together,0,0,Spain,13,16,78394.0,0,0,1428,B
4459,Graduation,34,3925,Single,1,0,Spain,13,5,30279.0,0,0,37,A
10642,Graduation,34,3925,Single,1,0,Spain,13,5,30279.0,0,0,37,A
9213,Graduation,53,3985,Widow,1,0,Spain,13,4,31880.0,0,0,15,A
3678,Graduation,50,4009,Widow,1,1,Spain,13,29,60208.0,1,0,656,C
